age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
49,admin.,married,tertiary,no,3489,yes,no,cellular,1,sep,342,11,-1,0,unknown,yes
84,admin.,married,secondary,no,4029,yes,yes,cellular,28,aug,329,5,215,2,unknown,yes
92,retired,married,secondary,no,659,no,no,cellular,8,feb,288,5,-1,0,unknown,no
85,management,married,secondary,no,2363,no,no,cellular,10,jan,375,3,-1,0,unknown,yes
19,technician,single,secondary,yes,2390,no,no,unknown,20,oct,365,1,-1,0,unknown,no
83,blue-collar,divorced,primary,no,3750,yes,no,unknown,5,mar,535,6,-1,0,unknown,yes
51,unknown,married,unknown,no,-563,no,no,unknown,23,sep,106,8,-1,0,other,no
67,services,single,secondary,no,-1185,no,no,cellular,26,jun,139,2,-1,0,unknown,yes
51,student,married,tertiary,no,-1353,no,no,cellular,5,sep,27,1,124,3,unknown,yes
29,retired,divorced,unknown,no,1008,yes,yes,cellular,27,oct,785,6,-1,0,unknown,yes
29,self-employed,married,primary,no,9422,yes,no,cellular,30,mar,593,1,-1,0,unknown,yes
95,unknown,single,secondary,no,3842,yes,no,cellular,27,apr,47,2,-1,2,unknown,no
73,self-employed,single,tertiary,no,3601,no,no,cellular,27,mar,83,2,-1,5,unknown,no
54,retired,married,primary,no,-1017,yes,no,cellular,16,may,215,2,-1,0,failure,no
91,admin.,married,tertiary,no,-1148,no,no,cellular,21,jul,281,1,-1,5,unknown,no
47,housemaid,married,secondary,yes,2638,yes,yes,unknown,1,jun,48,1,-1,0,unknown,no
21,blue-collar,single,tertiary,no,-1207,yes,no,unknown,13,feb,131,6,-1,1,unknown,no
56,admin.,single,secondary,yes,1397,yes,no,unknown,21,sep,269,6,-1,0,unknown,no
64,unemployed,married,secondary,no,3706,yes,no,unknown,12,mar,345,2,34,0,unknown,no
42,self-employed,single,secondary,no,2776,yes,no,unknown,12,feb,634,6,-1,0,unknown,yes
83,unemployed,single,secondary,no,-544,yes,no,cellular,23,jul,100,3,27,0,failure,no
59,student,single,secondary,no,6287,yes,no,unknown,22,jan,21,2,-1,0,success,yes
19,housemaid,divorced,secondary,no,4217,no,no,cellular,7,oct,106,5,-1,0,unknown,no
79,unemployed,married,tertiary,no,-2330,yes,no,cellular,30,jul,312,7,-1,0,unknown,yes
43,unknown,single,secondary,no,858,no,no,unknown,28,jun,555,6,-1,0,unknown,no
53,student,married,secondary,no,4523,yes,no,cellular,6,jul,461,10,-1,1,unknown,no
28,technician,married,secondary,no,-1641,yes,no,unknown,17,dec,431,1,-1,0,unknown,yes
91,admin.,single,secondary,no,784,no,no,telephone,25,dec,372,1,-1,0,unknown,yes
86,blue-collar,divorced,tertiary,no,-2871,no,no,telephone,15,oct,441,5,-1,0,other,yes
46,student,married,secondary,no,-5544,no,no,cellular,6,mar,254,6,-1,0,unknown,no
34,student,divorced,secondary,no,1640,yes,no,cellular,28,apr,601,3,-1,0,unknown,yes
52,self-employed,divorced,tertiary,no,8470,yes,no,unknown,31,jun,433,6,-1,0,unknown,yes
59,technician,single,tertiary,no,6880,no,no,cellular,29,jun,72,1,-1,0,success,yes
18,unemployed,married,tertiary,no,6382,no,no,cellular,17,dec,121,2,303,0,unknown,no
74,self-employed,divorced,primary,no,-131,no,no,cellular,9,apr,176,1,-1,0,unknown,no
48,retired,married,secondary,no,-663,yes,no,cellular,2,mar,320,4,-1,5,unknown,no
19,services,married,tertiary,no,801,yes,no,cellular,26,feb,246,1,-1,0,other,no
83,unknown,single,secondary,no,2423,no,no,cellular,9,nov,177,2,-1,0,unknown,no
54,blue-collar,married,unknown,no,1321,yes,no,cellular,31,aug,119,1,-1,2,unknown,no
79,unemployed,single,secondary,no,5128,yes,no,unknown,2,dec,549,4,-1,0,unknown,yes
71,retired,married,secondary,no,1600,no,no,cellular,20,mar,154,9,-1,0,unknown,yes
18,management,married,secondary,no,1843,no,no,unknown,10,nov,92,10,-1,0,success,yes
21,unemployed,single,tertiary,no,-1283,yes,no,cellular,14,oct,530,2,51,0,unknown,yes
25,technician,married,secondary,no,2532,no,no,unknown,24,dec,306,2,-1,0,other,yes
50,technician,single,primary,no,4865,yes,no,cellular,14,jul,307,2,-1,0,unknown,yes
71,student,single,secondary,no,423,yes,no,unknown,12,apr,345,9,-1,2,unknown,yes
28,management,married,unknown,no,-1551,yes,no,cellular,2,sep,401,2,161,0,unknown,yes
41,retired,married,secondary,no,-1396,yes,yes,cellular,14,jun,115,1,-1,1,unknown,no
61,services,married,secondary,no,-1233,no,no,cellular,29,dec,373,2,-1,1,unknown,yes
57,blue-collar,married,secondary,no,-2805,yes,no,cellular,16,aug,76,5,281,0,unknown,no
30,unknown,married,tertiary,no,-1479,yes,yes,cellular,29,feb,243,4,20,0,unknown,no
53,management,married,secondary,no,5248,no,no,cellular,11,feb,429,2,-1,0,unknown,no
49,student,married,tertiary,no,-3649,no,no,cellular,14,may,221,10,-1,0,failure,no
66,blue-collar,married,secondary,no,800,no,no,telephone,16,jan,206,4,-1,0,unknown,yes
36,admin.,married,secondary,no,621,yes,yes,cellular,3,jul,315,2,-1,0,unknown,no
32,self-employed,married,primary,no,6836,no,no,unknown,13,sep,660,4,-1,0,unknown,yes
21,technician,married,tertiary,no,2327,yes,no,cellular,12,jul,218,8,-1,0,failure,yes
44,technician,married,tertiary,no,1745,no,no,unknown,10,oct,516,3,-1,0,unknown,yes
62,admin.,divorced,secondary,no,5380,no,yes,cellular,10,may,153,5,-1,0,unknown,no
30,self-employed,single,secondary,no,4211,yes,no,cellular,10,jul,722,3,-1,0,failure,no
83,unemployed,single,secondary,no,3276,no,no,unknown,9,aug,272,2,-1,0,failure,no
87,retired,married,unknown,no,-2274,no,no,unknown,15,mar,126,4,274,0,unknown,no
72,admin.,single,secondary,no,691,no,no,unknown,2,jan,167,1,327,0,unknown,no
92,student,married,secondary,no,1214,no,no,cellular,26,may,193,2,92,0,unknown,no
67,technician,divorced,secondary,no,-173,no,no,cellular,3,sep,495,2,42,0,unknown,yes
21,services,married,secondary,no,2073,yes,no,cellular,17,may,502,2,-1,0,unknown,no
40,housemaid,single,secondary,no,825,no,yes,telephone,9,jun,104,5,-1,0,unknown,yes
23,housemaid,married,tertiary,no,-2036,no,no,cellular,23,jul,276,2,-1,0,unknown,no
29,management,married,tertiary,no,4986,yes,yes,unknown,20,jun,256,4,-1,0,unknown,no
37,unknown,married,primary,no,-377,no,no,cellular,4,jun,61,1,-1,0,unknown,no
57,unemployed,married,primary,no,-3217,yes,no,unknown,22,mar,562,3,289,0,unknown,yes
29,housemaid,married,secondary,no,-1462,no,yes,cellular,9,may,702,2,-1,0,unknown,no
18,retired,married,secondary,no,533,yes,no,cellular,15,feb,248,1,276,0,failure,no
87,admin.,married,secondary,no,1871,yes,no,cellular,13,sep,166,4,-1,0,unknown,no
61,technician,single,primary,no,6005,yes,no,unknown,8,apr,97,4,192,0,unknown,yes
83,services,married,secondary,no,1271,no,yes,unknown,5,feb,474,2,-1,0,unknown,yes
31,self-employed,single,secondary,no,-1185,yes,yes,unknown,12,may,276,2,-1,1,unknown,no
60,admin.,married,secondary,no,4322,no,yes,cellular,26,aug,99,1,-1,0,failure,no
41,entrepreneur,divorced,primary,no,558,yes,no,unknown,28,sep,351,2,-1,0,unknown,no
20,student,married,secondary,no,1573,yes,yes,cellular,2,feb,262,3,-1,0,unknown,no
93,management,single,secondary,no,3167,yes,no,cellular,2,jun,161,6,121,0,unknown,no
46,unemployed,married,secondary,no,-2068,yes,no,cellular,24,apr,678,4,68,0,unknown,no
67,unemployed,married,secondary,no,-3022,yes,no,cellular,10,oct,137,3,-1,0,failure,yes
25,unemployed,single,secondary,no,420,no,yes,cellular,8,jul,240,1,-1,0,unknown,no
63,unknown,married,secondary,no,3348,no,no,cellular,25,oct,227,3,-1,0,unknown,no
28,management,married,primary,no,3994,no,no,cellular,5,nov,284,1,-1,0,unknown,no
49,student,divorced,tertiary,no,4879,no,no,unknown,1,nov,41,7,-1,0,unknown,no
40,admin.,divorced,primary,no,-1520,yes,no,unknown,8,aug,69,4,-1,0,success,no
82,unemployed,married,secondary,no,3519,yes,no,unknown,20,jan,282,3,-1,0,other,no
35,entrepreneur,divorced,secondary,no,6015,yes,no,unknown,14,jun,535,1,-1,0,unknown,yes
19,blue-collar,married,primary,no,3560,yes,yes,cellular,19,mar,447,6,-1,0,unknown,no
87,management,married,secondary,no,4258,yes,no,unknown,23,jul,220,2,-1,0,unknown,no
72,unemployed,divorced,tertiary,no,-2290,no,yes,cellular,26,oct,189,3,-1,1,unknown,no
39,management,married,secondary,no,-1809,yes,no,unknown,19,jan,714,2,-1,0,unknown,no
92,unknown,divorced,secondary,no,3893,yes,no,cellular,17,apr,584,5,-1,0,unknown,no
29,self-employed,married,primary,no,3001,yes,yes,cellular,8,mar,190,4,-1,0,unknown,no
33,technician,married,secondary,no,4816,yes,no,cellular,11,jan,722,1,-1,0,unknown,no
95,management,married,tertiary,no,-1161,no,no,cellular,10,oct,200,6,-1,0,unknown,yes
57,unknown,single,secondary,no,2413,yes,no,cellular,15,may,72,2,-1,1,unknown,no
91,blue-collar,married,secondary,no,3193,yes,no,unknown,21,dec,171,1,297,0,unknown,no
50,housemaid,married,secondary,no,-988,yes,no,cellular,1,jan,416,2,-1,0,failure,no
36,housemaid,single,secondary,no,3438,no,no,telephone,5,jul,646,2,-1,2,unknown,yes
85,student,married,secondary,no,4733,no,no,unknown,12,jan,248,12,-1,1,unknown,no
85,services,married,secondary,no,721,yes,no,unknown,23,mar,570,2,-1,0,unknown,yes
91,housemaid,married,secondary,no,24,yes,no,unknown,10,nov,145,2,-1,0,unknown,no
80,management,married,tertiary,no,3365,yes,no,telephone,23,feb,218,1,-1,0,unknown,no
43,technician,married,secondary,no,3595,yes,no,cellular,10,nov,274,1,121,1,unknown,no
72,unemployed,married,primary,no,1301,yes,no,cellular,5,feb,170,3,-1,0,unknown,no
74,technician,married,tertiary,no,3789,yes,yes,cellular,6,may,133,9,-1,0,unknown,yes
64,self-employed,divorced,secondary,no,4672,yes,yes,unknown,31,nov,74,9,-1,0,failure,no
44,unemployed,married,secondary,no,1428,yes,no,cellular,31,aug,148,2,-1,1,unknown,no
84,unknown,married,primary,no,-2386,no,no,unknown,29,oct,46,1,-1,0,unknown,no
19,housemaid,single,tertiary,no,6983,yes,no,telephone,28,oct,158,2,-1,0,unknown,yes
93,student,single,primary,no,-6771,yes,no,cellular,4,feb,505,1,138,0,unknown,yes
48,unemployed,married,secondary,no,4574,no,no,unknown,10,dec,312,10,34,0,other,no
93,blue-collar,married,primary,no,-1993,no,no,cellular,23,feb,105,3,-1,0,other,no
72,self-employed,married,secondary,no,-2760,yes,no,cellular,17,sep,140,1,390,0,unknown,yes
56,technician,married,secondary,no,-969,yes,yes,cellular,25,apr,178,2,-1,0,unknown,no
51,self-employed,married,primary,no,4496,no,no,unknown,14,mar,403,1,-1,0,unknown,yes
93,management,married,secondary,no,-7187,yes,no,unknown,23,feb,60,2,-1,0,unknown,no
23,entrepreneur,divorced,secondary,no,6789,no,no,cellular,1,sep,187,3,-1,0,unknown,no
19,student,single,secondary,no,2510,no,no,cellular,10,may,415,3,-1,0,failure,yes
74,blue-collar,married,primary,no,6125,no,no,unknown,1,mar,65,1,-1,0,failure,no
89,management,married,secondary,no,2176,yes,yes,unknown,6,feb,661,3,-1,0,unknown,yes
95,entrepreneur,married,secondary,no,973,yes,no,cellular,12,aug,613,1,-1,0,unknown,yes
38,services,single,tertiary,no,5855,yes,no,cellular,1,feb,90,6,-1,3,unknown,yes
95,retired,married,tertiary,no,6243,yes,yes,unknown,29,apr,409,8,-1,0,unknown,yes
21,retired,single,secondary,no,289,no,yes,cellular,31,may,258,2,-1,0,unknown,no
74,unemployed,married,tertiary,no,2501,no,no,cellular,29,oct,106,1,-1,1,unknown,yes
58,entrepreneur,married,secondary,no,1959,yes,no,cellular,21,nov,169,8,-1,0,unknown,yes
82,retired,divorced,primary,no,4583,yes,no,cellular,13,jul,776,4,-1,0,unknown,yes
55,unemployed,married,secondary,no,3541,yes,yes,cellular,9,mar,374,1,-1,3,failure,no
72,entrepreneur,single,secondary,no,-3412,no,no,cellular,9,jul,374,4,-1,0,unknown,yes
78,blue-collar,married,tertiary,no,-743,no,no,cellular,5,feb,87,4,-1,0,unknown,no
21,student,married,secondary,no,-4009,yes,no,cellular,25,jul,356,3,-1,1,unknown,yes
46,services,single,tertiary,no,-2636,no,no,cellular,10,sep,358,3,282,1,unknown,no
91,unemployed,married,secondary,no,1623,yes,yes,cellular,19,jun,438,1,-1,3,failure,no
65,services,married,secondary,no,2461,yes,no,unknown,12,oct,298,1,-1,0,other,no
35,management,divorced,primary,no,3805,no,yes,unknown,19,aug,126,1,-1,0,failure,no
62,unknown,married,primary,no,1049,yes,no,cellular,9,jun,120,3,317,2,unknown,no
88,student,single,unknown,no,4213,no,no,cellular,22,mar,215,6,-1,3,unknown,no
19,unemployed,married,secondary,no,-481,yes,no,unknown,9,aug,118,2,-1,0,unknown,no
67,unknown,divorced,tertiary,no,1835,no,no,cellular,20,dec,67,1,-1,5,unknown,no
48,housemaid,single,primary,no,689,no,no,telephone,17,apr,105,1,-1,0,unknown,no
56,management,married,primary,no,4114,yes,no,cellular,5,jun,364,5,-1,0,unknown,yes
64,management,married,secondary,no,-1681,yes,no,cellular,5,aug,657,2,1,0,unknown,yes
67,blue-collar,single,secondary,no,-4522,yes,yes,cellular,25,oct,461,4,-1,0,failure,yes
40,housemaid,married,secondary,no,1164,yes,no,telephone,2,jun,74,3,-1,0,unknown,no
94,housemaid,married,secondary,no,326,yes,no,unknown,2,sep,243,5,97,0,unknown,no
71,admin.,divorced,unknown,no,4085,yes,no,cellular,14,dec,440,2,-1,0,unknown,no
89,admin.,single,primary,no,-1329,no,no,unknown,8,aug,230,3,138,0,unknown,no
62,housemaid,single,secondary,no,6893,yes,no,cellular,4,nov,268,1,-1,0,unknown,no
36,management,married,tertiary,no,5423,no,no,cellular,13,mar,167,2,-1,2,unknown,no
78,retired,single,secondary,no,8280,no,yes,cellular,27,jul,21,3,-1,0,failure,no
75,housemaid,married,tertiary,no,1721,no,no,cellular,4,may,442,1,-1,0,unknown,yes
47,unknown,married,secondary,no,1119,no,no,telephone,2,dec,383,1,-1,0,unknown,yes
44,housemaid,married,secondary,no,-2001,yes,yes,unknown,21,nov,276,4,-1,0,unknown,no
39,management,married,tertiary,no,5496,no,no,cellular,9,may,319,6,-1,0,unknown,yes
76,retired,married,secondary,no,-102,no,yes,cellular,8,sep,112,2,-1,0,unknown,no
41,housemaid,married,unknown,no,3798,yes,no,unknown,24,may,229,2,-1,0,other,no
71,housemaid,married,tertiary,no,2795,yes,no,cellular,30,apr,404,4,359,4,unknown,yes
52,management,single,secondary,no,2694,no,no,telephone,13,may,269,4,-1,0,unknown,no
37,entrepreneur,married,unknown,no,3640,yes,yes,cellular,8,jun,354,5,-1,0,unknown,no
94,unemployed,married,primary,no,1252,yes,no,cellular,22,apr,244,1,196,0,unknown,yes
87,housemaid,married,secondary,no,-3325,no,no,cellular,15,nov,85,9,-1,0,failure,no
23,student,divorced,secondary,no,-1519,yes,no,cellular,28,apr,670,6,6,0,unknown,yes
51,unknown,married,tertiary,no,-2852,yes,no,unknown,13,oct,501,7,-1,0,success,no
50,unemployed,single,secondary,yes,3358,no,no,cellular,23,mar,350,3,-1,0,unknown,yes
33,services,married,secondary,no,-1372,no,no,unknown,10,apr,224,9,-1,0,unknown,no
67,student,married,primary,no,-3814,no,no,unknown,10,jan,362,5,-1,0,unknown,yes
72,self-employed,married,secondary,no,1209,no,no,cellular,7,jul,154,1,289,0,unknown,no
45,unemployed,single,tertiary,yes,6601,no,no,telephone,19,oct,144,8,-1,0,unknown,no
53,unknown,divorced,secondary,no,686,yes,no,telephone,11,jun,164,3,-1,0,unknown,no
53,retired,single,secondary,no,4126,no,yes,cellular,31,dec,61,3,-1,0,unknown,yes
22,student,married,secondary,no,4263,no,no,cellular,1,jun,841,1,-1,0,unknown,yes
28,retired,married,secondary,no,4603,yes,no,unknown,27,dec,658,1,-1,0,failure,no
42,services,single,tertiary,no,238,no,no,cellular,28,aug,22,2,-1,0,other,no
42,services,married,secondary,no,1332,no,no,telephone,12,jul,292,2,-1,0,unknown,yes
81,housemaid,single,primary,no,-592,no,no,cellular,2,sep,245,1,-1,0,unknown,no
74,unknown,married,tertiary,no,2008,no,no,telephone,22,apr,229,10,-1,0,unknown,yes
95,unemployed,single,secondary,no,1623,yes,no,cellular,27,jul,371,1,-1,0,unknown,no
20,management,single,primary,no,-2567,yes,yes,cellular,29,jan,303,8,297,1,unknown,no
24,technician,single,secondary,no,-1840,no,no,telephone,22,jan,704,2,4,3,unknown,no
71,services,single,primary,no,-466,yes,no,cellular,28,may,535,3,-1,1,failure,yes
81,retired,single,tertiary,no,856,no,no,telephone,17,jan,235,9,53,0,unknown,no
62,blue-collar,married,primary,no,-782,yes,no,unknown,4,jan,230,7,-1,2,unknown,no
86,unemployed,single,secondary,yes,3080,yes,no,cellular,17,dec,363,1,-1,0,success,yes
40,management,married,secondary,no,2697,no,no,cellular,29,nov,287,1,-1,0,unknown,no
25,unknown,divorced,secondary,no,913,yes,no,unknown,9,mar,49,3,-1,0,unknown,no
60,blue-collar,married,secondary,no,-3133,no,no,cellular,30,apr,115,2,-1,0,unknown,no
49,self-employed,single,secondary,no,3111,no,no,cellular,16,apr,619,5,-1,0,unknown,yes
32,blue-collar,married,secondary,no,528,yes,no,telephone,23,jul,366,8,-1,0,unknown,yes
66,housemaid,single,tertiary,no,7030,yes,no,cellular,14,nov,71,1,-1,0,unknown,no
63,management,single,primary,no,604,yes,yes,cellular,24,mar,504,1,381,0,unknown,no
25,services,married,secondary,no,6083,no,no,cellular,12,dec,218,1,-1,0,unknown,yes
36,student,divorced,tertiary,no,-492,no,yes,unknown,20,jan,376,1,105,0,unknown,yes
30,housemaid,divorced,secondary,no,2995,no,no,unknown,19,feb,270,4,93,2,unknown,yes
42,services,married,unknown,no,-963,no,yes,cellular,8,dec,257,2,-1,0,unknown,no
44,unknown,married,unknown,no,753,yes,no,unknown,13,mar,258,5,372,0,unknown,no
85,entrepreneur,married,tertiary,no,3549,yes,no,unknown,29,aug,327,4,-1,0,unknown,no
66,self-employed,married,primary,no,1764,yes,no,cellular,22,nov,178,2,-1,0,failure,yes
47,unknown,married,secondary,no,1416,yes,yes,cellular,11,aug,200,3,-1,0,unknown,no
91,technician,divorced,secondary,no,5712,yes,no,unknown,11,jul,45,5,-1,0,unknown,yes
28,blue-collar,divorced,secondary,no,-831,yes,no,cellular,16,mar,189,1,-1,0,failure,no
19,blue-collar,married,primary,no,-2785,no,no,unknown,17,may,294,8,70,0,unknown,no
35,housemaid,divorced,secondary,no,-5909,no,no,unknown,20,mar,269,8,-1,0,failure,no
77,housemaid,single,primary,no,4068,no,no,cellular,4,may,269,2,296,0,unknown,yes
56,technician,married,secondary,no,-6138,no,yes,unknown,18,feb,415,1,-1,0,unknown,yes
47,housemaid,married,unknown,no,626,yes,no,cellular,1,jun,190,2,-1,0,unknown,no
50,management,married,secondary,no,-54,yes,no,cellular,10,apr,342,1,-1,0,unknown,no
80,unknown,married,secondary,no,-2424,yes,no,cellular,17,feb,263,3,-1,0,success,yes
25,management,married,secondary,no,3213,yes,no,unknown,8,feb,90,2,-1,0,unknown,yes
67,housemaid,married,secondary,no,2003,yes,yes,cellular,1,nov,197,5,190,0,failure,no
18,housemaid,married,secondary,no,-1644,yes,no,cellular,28,sep,219,1,-1,0,unknown,no
78,management,married,secondary,no,6307,no,no,cellular,26,sep,49,1,-1,0,unknown,yes
90,retired,married,tertiary,no,475,yes,no,cellular,20,feb,454,7,-1,0,success,yes
54,technician,married,tertiary,no,6023,yes,yes,unknown,11,oct,58,6,-1,0,unknown,no
92,services,married,secondary,no,-1773,yes,no,telephone,2,jan,180,1,395,0,unknown,no
94,retired,married,tertiary,no,1772,no,yes,cellular,27,nov,81,5,-1,1,unknown,no
49,admin.,single,primary,no,3686,yes,no,cellular,15,dec,488,6,-1,0,unknown,no
47,housemaid,married,secondary,no,1539,no,no,cellular,18,sep,252,7,-1,2,success,no
44,technician,married,tertiary,no,1931,yes,yes,unknown,29,feb,117,3,-1,0,success,no
29,student,married,tertiary,no,5977,yes,no,telephone,27,nov,1002,2,-1,0,failure,yes
47,self-employed,single,secondary,no,4431,no,no,cellular,10,jan,101,1,-1,0,unknown,yes
87,unknown,single,unknown,no,3628,yes,no,cellular,6,jul,63,10,-1,0,unknown,no
77,entrepreneur,married,secondary,no,5835,yes,no,cellular,4,jan,362,1,-1,0,unknown,yes
24,unemployed,married,primary,no,2596,no,yes,unknown,20,dec,546,1,-1,0,unknown,yes
81,management,divorced,tertiary,no,8241,yes,no,unknown,3,apr,434,8,-1,0,unknown,no
