RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
29,15936933,Customer29,647,Germany,Male,30,7,90217.19,1,1,0,107831.44,0
30,15174524,Customer30,729,France,Male,38,4,43129.29,2,0,1,169193.67,0
31,15707262,Customer31,589,France,Male,38,6,0.0,1,0,1,44346.64,1
32,15156229,Customer32,684,France,Male,55,9,133610.78,1,1,0,182927.64,1
33,15899574,Customer33,435,France,Male,56,2,184392.43,2,0,1,112802.22,0
34,15633261,Customer34,762,France,Male,24,1,0.0,1,0,1,167796.9,0
35,15873109,Customer35,508,France,Male,29,5,243151.23,2,1,1,98165.48,0
36,15622988,Customer36,677,Spain,Male,46,3,147436.26,1,1,1,162402.16,0
37,15363864,Customer37,687,Spain,Male,41,1,91136.53,2,1,1,171813.42,0
38,15804832,Customer38,839,France,Female,56,10,137585.67,2,0,0,185802.35,0
39,15331984,Customer39,638,Germany,Female,48,4,407190.86,2,0,0,48018.97,0
40,15483556,Customer40,703,France,Female,37,4,95415.03,2,1,0,60238.17,0
41,15429552,Customer41,506,France,Male,65,10,83767.47,1,1,1,73475.9,1
42,15967607,Customer42,716,France,Male,23,8,89472.11,1,1,1,166651.27,0
43,15261750,Customer43,512,Germany,Female,43,9,0.0,2,0,0,8221.81,1
44,15307206,Customer44,712,France,Female,50,5,0.0,1,1,1,81332.29,0
45,15375627,Customer45,522,France,Male,45,2,219475.92,1,0,1,116293.29,0
46,15013870,Customer46,557,Germany,Male,31,10,125477.43,1,1,1,131726.02,1
47,15287823,Customer47,733,France,Male,26,10,0.0,2,1,1,41047.73,0
48,15239702,Customer48,767,Spain,Female,47,6,57952.44,2,0,1,72908.48,0
49,15343756,Customer49,620,France,Female,35,1,130611.79,1,1,0,77213.24,0
50,15538014,Customer50,631,Germany,Female,37,8,122297.32,2,1,1,172201.55,1
51,15253085,Customer51,850,France,Male,42,2,108025.75,2,1,0,77219.69,1
52,15582774,Customer52,800,France,Female,37,2,0.0,1,1,0,99806.96,0
53,15376098,Customer53,598,Germany,Male,54,7,35068.37,2,1,0,161936.1,1
54,15922394,Customer54,563,Germany,Female,52,2,121837.86,4,1,0,77394.65,1
55,15574570,Customer55,541,France,Male,23,3,0.0,2,1,0,3551.8,0
56,15334711,Customer56,722,France,Male,44,4,0.0,2,1,1,73782.76,0
57,15072686,Customer57,567,France,Male,37,8,0.0,1,0,0,77390.59,0
58,15198190,Customer58,597,Germany,Female,23,4,82524.71,1,1,1,8344.8,0
59,15555827,Customer59,657,Germany,Female,40,1,0.0,1,1,0,162556.56,1
60,15333541,Customer60,652,Germany,Female,39,1,77985.04,2,1,1,124466.01,0
61,15416789,Customer61,568,Spain,Male,30,2,0.0,2,1,1,92004.66,1
62,15205817,Customer62,753,Germany,Female,41,6,81901.54,2,0,0,130019.35,0
63,15920052,Customer63,544,France,Female,52,4,188916.63,1,1,0,36344.16,1
64,15656103,Customer64,645,France,Female,30,1,114412.23,1,0,0,153932.82,0
65,15185516,Customer65,720,Germany,Female,26,8,163519.72,2,0,0,187116.49,1
66,15689586,Customer66,715,France,Female,31,1,166510.91,2,1,1,194048.63,0
67,15886526,Customer67,717,Spain,Male,42,8,174226.8,2,1,1,35173.53,0
68,15830208,Customer68,590,Spain,Male,53,10,0.0,2,1,0,170481.02,0
69,15917422,Customer69,544,Spain,Male,31,8,88465.37,2,1,0,34511.85,0
70,15721288,Customer70,506,France,Female,29,10,57802.92,4,0,1,40294.08,0
71,15422091,Customer71,679,Spain,Male,29,4,0.0,2,1,0,100625.57,0
72,15147677,Customer72,668,France,Female,31,8,0.0,2,0,0,186442.12,0
73,15089677,Customer73,416,France,Female,56,10,134264.74,2,1,0,192612.35,0
74,15909215,Customer74,850,France,Male,46,5,122603.05,2,0,1,15004.67,0
75,15825112,Customer75,515,Germany,Male,18,8,65021.34,2,0,1,170350.0,0
76,15084418,Customer76,662,France,Female,32,9,0.0,2,1,1,192960.73,1
77,15494991,Customer77,554,France,Male,38,2,38792.24,2,1,1,69609.86,0
78,15106529,Customer78,767,France,Female,29,3,172145.93,2,0,0,102427.14,0
79,15257828,Customer79,744,France,Male,33,10,50831.21,1,0,1,12939.25,0
80,15563467,Customer80,528,France,Female,33,9,198239.85,2,1,0,94677.08,1
81,15558240,Customer81,623,France,Male,40,10,0.0,2,1,0,130729.64,0
82,15300984,Customer82,538,France,Male,53,10,0.0,1,0,1,127896.93,0
83,15261112,Customer83,556,France,Female,18,3,89596.99,1,1,0,109538.08,0
84,15009615,Customer84,560,Spain,Female,40,6,0.0,1,0,1,147004.64,0
85,15259069,Customer85,638,Spain,Female,53,6,63960.96,2,1,1,81057.0,0
86,15310632,Customer86,587,Germany,Female,41,8,0.0,1,0,0,6345.6,0
87,15947361,Customer87,780,France,Female,37,1,114921.22,1,1,0,32260.96,0
88,15300295,Customer88,496,Spain,Female,43,4,0.0,1,1,1,10707.09,0
89,15922849,Customer89,647,Spain,Female,48,2,101468.43,1,1,1,76001.81,1
90,15066852,Customer90,518,Germany,Female,48,10,0.0,1,0,0,3419.69,1
91,15956590,Customer91,511,Spain,Female,43,10,183586.06,2,0,1,27944.11,1
92,15436127,Customer92,724,Spain,Male,24,0,172923.58,2,1,0,126030.42,0
93,15426003,Customer93,576,France,Female,42,0,137995.67,1,1,0,45714.74,0
94,15003891,Customer94,600,Spain,Female,48,8,0.0,1,1,0,155646.16,0
95,15199606,Customer95,668,France,Male,28,9,110798.09,2,0,0,114200.27,0
96,15263220,Customer96,750,France,Female,18,6,235832.1,1,1,0,2075.22,1
97,15262152,Customer97,727,Spain,Female,41,4,88385.85,1,1,1,136931.96,0
98,15901262,Customer98,458,Germany,Male,49,10,0.0,2,1,0,42744.21,0
99,15454050,Customer99,566,France,Male,25,8,281615.93,2,0,0,162331.05,1
100,15140963,Customer100,599,Germany,Female,46,8,111717.38,1,1,0,173405.48,1
101,15614700,Customer101,713,France,Male,28,5,0.0,1,0,0,86495.96,0
102,15936135,Customer102,599,France,Male,35,10,126552.96,1,1,0,34476.91,0
103,15662733,Customer103,523,Spain,Male,45,8,110117.98,1,1,1,172322.63,0
104,15627922,Customer104,660,France,Female,25,2,56236.04,1,1,0,98224.54,0
105,15659966,Customer105,550,Germany,Female,43,4,116316.25,1,0,0,93848.68,1
106,15720142,Customer106,630,Germany,Female,32,7,131909.73,1,1,0,86662.87,1
107,15265114,Customer107,770,Spain,Male,52,8,0.0,1,0,1,164885.62,1
108,15867202,Customer108,534,Spain,Male,33,1,29741.06,4,0,0,25148.36,1
109,15093728,Customer109,685,France,Male,39,7,127428.52,1,1,0,178230.91,0
110,15986940,Customer110,696,France,Male,41,8,128214.52,1,1,1,114087.96,0
111,15680678,Customer111,704,France,Male,32,7,0.0,1,1,0,70140.53,1
112,15176573,Customer112,645,France,Female,36,8,156424.7,2,1,1,138864.59,0
113,15707505,Customer113,639,Germany,Male,34,5,0.0,2,1,1,132782.31,0
114,15935242,Customer114,633,Germany,Male,49,9,0.0,1,1,1,186655.48,1
115,15356219,Customer115,548,Spain,Female,31,6,0.0,1,0,0,125734.62,0
116,15886682,Customer116,670,Spain,Female,33,1,0.0,1,1,1,127952.37,0
117,15821126,Customer117,654,France,Male,31,10,0.0,2,1,0,87318.24,0
118,15827039,Customer118,481,France,Male,34,4,0.0,1,1,0,142158.29,0
119,15314182,Customer119,662,Germany,Female,43,9,103551.42,2,1,0,175340.11,0
120,15018650,Customer120,685,France,Female,35,7,0.0,2,1,1,69081.45,0
121,15331381,Customer121,619,France,Female,34,10,53897.43,2,0,1,163485.65,0
122,15422286,Customer122,651,Germany,Female,32,0,91628.54,1,0,0,184104.41,0
123,15567347,Customer123,660,France,Female,35,0,0.0,1,0,0,159942.34,0
124,15988556,Customer124,662,Spain,Female,45,4,113615.34,1,0,1,68875.22,0
125,15645809,Customer125,835,Spain,Female,34,6,0.0,1,1,0,176307.11,1
126,15933900,Customer126,629,France,Male,48,6,110636.18,1,0,0,95140.48,1
127,15936180,Customer127,590,Germany,Male,60,5,101630.24,1,1,0,41819.41,0
128,15600800,Customer128,607,Spain,Male,37,9,137896.5,1,1,0,118706.79,1
129,15464044,Customer129,728,Spain,Female,53,6,166461.79,2,1,0,104057.39,0
130,15899004,Customer130,666,France,Female,23,7,123032.87,1,1,1,44642.57,1
131,15818176,Customer131,717,France,Female,34,1,152902.91,2,1,0,126066.15,0
132,15009963,Customer132,562,Spain,Male,45,8,41001.61,1,1,1,94799.69,1
133,15841390,Customer133,737,Spain,Female,42,1,86033.94,1,1,0,27346.27,0
134,15635207,Customer134,695,France,Male,29,10,13046.36,2,1,1,96668.38,0
135,15103734,Customer135,624,France,Female,45,6,0.0,2,1,1,105613.98,0
136,15609926,Customer136,646,Germany,Male,64,8,77041.31,1,0,1,198660.43,1
137,15583024,Customer137,549,Spain,Male,45,5,190736.3,1,0,1,131763.98,0
138,15427363,Customer138,712,France,Male,27,7,0.0,1,1,0,108560.37,0
139,15968659,Customer139,578,Germany,Male,30,0,0.0,2,1,1,183415.46,0
140,15410831,Customer140,650,Spain,Female,30,7,0.0,2,1,1,88209.79,0
141,15696498,Customer141,646,Germany,Male,40,7,74836.86,1,1,1,303.44,1
142,15643597,Customer142,681,France,Male,54,7,0.0,1,1,1,5072.67,0
143,15375945,Customer143,585,France,Male,47,5,53490.62,1,1,0,142077.78,0
144,15376444,Customer144,777,France,Male,59,6,0.0,2,1,0,29643.57,1
145,15850040,Customer145,725,Spain,Male,40,7,130850.08,1,0,1,161482.46,0
146,15214334,Customer146,604,France,Male,43,2,54734.23,2,1,1,176572.57,0
147,15392406,Customer147,750,France,Female,54,8,0.0,1,1,1,83269.17,0
148,15490747,Customer148,798,France,Male,39,8,187788.68,2,1,0,131546.96,0
149,15292254,Customer149,802,France,Female,54,5,46632.11,1,1,0,162527.98,1
150,15957509,Customer150,609,France,Female,51,1,211000.39,1,0,1,96953.63,0
151,15270338,Customer151,610,France,Male,29,7,0.0,1,0,0,29076.18,0
152,15471713,Customer152,598,Germany,Male,35,5,0.0,2,0,1,23946.54,0
153,15487880,Customer153,618,Germany,Male,36,6,0.0,1,0,1,180386.95,0
154,15197708,Customer154,821,France,Male,35,6,0.0,2,0,0,76737.49,0
155,15041082,Customer155,592,France,Female,40,10,0.0,2,0,0,198207.66,0
156,15000576,Customer156,826,France,Male,31,8,0.0,1,1,1,8811.1,0
157,15092608,Customer157,530,Germany,Female,52,7,109577.14,2,1,1,110546.23,1
158,15480180,Customer158,551,Spain,Female,44,7,35358.39,2,1,0,174773.52,0
159,15359900,Customer159,596,Spain,Male,46,2,185205.45,1,1,0,164738.39,1
160,15878240,Customer160,578,France,Male,46,8,85709.54,2,0,1,172606.26,0
161,15975910,Customer161,739,France,Female,27,4,80501.68,1,1,1,140225.83,1
162,15352404,Customer162,542,Spain,Male,46,2,155949.01,1,1,0,82991.28,0
163,15595785,Customer163,669,Spain,Male,31,3,72622.79,1,1,1,162577.35,0
164,15749311,Customer164,645,France,Female,56,4,90306.25,2,1,0,180446.43,0
165,15540538,Customer165,542,Spain,Female,23,1,175618.01,2,1,1,136541.15,1
166,15812475,Customer166,707,Spain,Male,50,6,0.0,2,1,0,85709.6,1
167,15687085,Customer167,534,Germany,Male,29,10,0.0,1,1,0,127862.65,0
168,15678085,Customer168,643,Spain,Female,38,10,253334.48,2,1,1,24832.78,0
169,15834849,Customer169,580,France,Male,45,7,64210.0,1,1,1,94773.19,0
170,15508864,Customer170,716,France,Female,27,4,185485.73,1,1,0,102947.92,0
171,15238104,Customer171,607,France,Female,33,2,0.0,3,1,1,42437.51,0
172,15022446,Customer172,488,France,Female,44,6,36691.78,1,0,0,43835.13,1
173,15160993,Customer173,587,Spain,Male,24,6,123136.15,1,1,0,20034.7,1
174,15240980,Customer174,550,France,Male,18,4,147725.71,1,1,1,163387.76,0
175,15153474,Customer175,584,Germany,Male,41,3,0.0,1,0,0,10355.88,1
176,15886267,Customer176,510,France,Female,47,7,64016.16,2,1,0,96842.97,0
177,15167909,Customer177,680,France,Female,53,3,122883.82,2,1,0,93356.11,0
178,15061542,Customer178,751,France,Male,42,5,0.0,3,0,0,199681.26,0
179,15541079,Customer179,525,France,Male,41,2,0.0,2,0,0,41152.55,0
180,15646736,Customer180,744,Germany,Male,49,0,134850.85,2,1,1,191775.97,1
181,15609218,Customer181,694,Germany,Female,39,3,69411.0,1,1,1,155068.88,0
182,15816892,Customer182,608,France,Male,44,1,49458.44,2,1,0,132906.39,0
183,15569274,Customer183,758,Germany,Male,18,9,0.0,2,0,0,129598.1,0
184,15332174,Customer184,850,France,Female,38,4,238443.28,1,1,0,186691.05,0
185,15180496,Customer185,719,France,Female,29,6,72046.37,2,0,0,153958.28,0
186,15537291,Customer186,444,France,Male,28,6,143285.55,1,1,0,109223.1,0
187,15951200,Customer187,569,France,Female,38,5,163285.36,2,1,1,99440.3,0
188,15803179,Customer188,658,France,Male,35,0,0.0,2,1,0,192967.25,0
189,15775728,Customer189,490,Spain,Male,55,5,0.0,2,1,1,44820.46,0
190,15497090,Customer190,772,Spain,Male,54,3,90363.36,2,0,1,22036.68,0
191,15822266,Customer191,544,France,Male,47,2,0.0,3,0,0,10552.01,0
192,15486459,Customer192,702,France,Male,57,0,76516.61,2,0,0,134133.78,0
193,15979495,Customer193,680,France,Female,39,7,0.0,2,1,1,11322.27,0
194,15840417,Customer194,435,France,Female,19,8,0.0,2,1,1,55031.9,0
195,15639557,Customer195,537,France,Female,25,4,78515.87,2,1,1,126255.85,0
196,15300214,Customer196,727,Germany,Male,43,9,0.0,2,1,0,152387.36,0
197,15362738,Customer197,760,Spain,Female,39,5,0.0,1,0,1,54885.49,0
198,15999287,Customer198,551,France,Female,38,4,104669.11,1,1,0,92562.42,1
199,15786118,Customer199,609,Germany,Male,37,0,0.0,2,0,1,70539.59,0
200,15236370,Customer200,797,Germany,Female,18,10,125170.39,2,1,0,12463.36,1
201,15844992,Customer201,813,Spain,Male,42,10,100010.86,2,1,0,59113.57,0
202,15921192,Customer202,721,France,Male,42,9,0.0,1,1,0,161465.52,1
203,15048797,Customer203,582,Germany,Male,44,9,0.0,1,1,1,143002.99,0
204,15787570,Customer204,809,Spain,Female,34,9,0.0,2,1,0,103199.92,0
205,15729510,Customer205,654,Germany,Female,33,8,0.0,2,0,1,8648.59,0
206,15441108,Customer206,586,France,Female,43,8,0.0,1,0,1,90870.31,0
207,15443048,Customer207,661,Germany,Male,18,4,91414.97,1,1,0,65896.3,1
208,15444276,Customer208,850,Germany,Male,34,2,99365.86,1,0,1,174439.85,0
209,15794479,Customer209,663,Germany,Female,34,1,151708.78,1,1,0,104291.96,1
210,15850852,Customer210,679,France,Female,51,1,168370.53,1,1,0,50812.34,0
211,15624817,Customer211,570,Spain,Male,52,2,137133.71,1,1,0,42033.6,1
212,15544310,Customer212,632,Spain,Female,54,0,88862.55,2,0,1,114367.56,0
213,15316694,Customer213,692,France,Female,37,5,207989.27,2,1,1,88164.64,0
214,15964074,Customer214,647,Germany,Female,32,2,87699.78,1,1,1,126274.09,0
215,15451512,Customer215,534,France,Male,40,7,0.0,2,0,0,88432.74,0
216,15440146,Customer216,789,Spain,Male,45,2,72643.12,1,1,1,121521.51,0
217,15564273,Customer217,685,Spain,Female,35,7,0.0,1,1,1,105161.72,0
218,15392760,Customer218,608,Germany,Male,18,3,0.0,2,1,0,44930.0,0
219,15061107,Customer219,626,Spain,Male,41,4,0.0,1,1,0,169871.2,0
220,15646880,Customer220,499,France,Female,34,5,0.0,1,1,0,83280.92,0
221,15608167,Customer221,781,France,Male,21,7,64247.5,2,1,0,148588.28,0
222,15242710,Customer222,694,France,Male,29,3,79057.2,1,1,0,11069.15,0
223,15916485,Customer223,622,Germany,Female,35,3,44720.52,1,1,0,45894.8,0
224,15976103,Customer224,575,France,Male,32,7,0.0,2,0,0,23944.73,0
225,15982568,Customer225,433,Spain,Female,35,8,0.0,2,1,1,159141.25,0
226,15167467,Customer226,850,France,Female,38,0,0.0,2,1,1,50021.8,0
227,15861709,Customer227,592,France,Female,27,1,42238.85,1,1,0,125988.93,1
228,15044897,Customer228,565,France,Male,43,8,89163.58,1,1,0,55475.6,1
229,15830229,Customer229,626,Germany,Male,33,1,0.0,2,1,1,25961.26,0
230,15720906,Customer230,661,Spain,Female,23,4,118738.03,1,0,1,148811.29,0
231,15296065,Customer231,550,Germany,Male,27,9,0.0,1,0,1,144874.91,0
232,15206936,Customer232,650,France,Female,29,6,126029.84,1,1,0,23665.52,0
233,15781150,Customer233,670,Spain,Male,46,0,41473.97,2,1,0,177112.51,1
234,15864716,Customer234,669,France,Male,39,6,164845.82,2,1,1,173427.49,0
235,15014388,Customer235,776,Spain,Male,33,5,0.0,2,1,1,67155.17,0
236,15811565,Customer236,603,Germany,Male,38,8,0.0,2,1,0,166831.49,1
237,15786093,Customer237,596,France,Female,33,10,145700.7,1,1,1,130787.61,0
238,15583586,Customer238,550,Germany,Male,34,2,254646.59,1,1,1,179613.26,0
239,15096324,Customer239,622,Germany,Male,43,2,0.0,1,0,1,130605.27,0
240,15600377,Customer240,850,France,Male,39,5,0.0,1,0,1,182367.06,1
241,15558841,Customer241,560,Spain,Male,37,8,97965.01,1,1,0,98460.08,1
242,15611212,Customer242,555,France,Male,37,8,138525.16,1,1,0,187407.58,0
243,15646139,Customer243,773,Spain,Female,34,2,73645.35,1,1,0,136176.03,0
244,15877561,Customer244,850,Spain,Male,44,7,163263.38,1,1,0,104524.97,0
245,15072779,Customer245,649,France,Male,36,0,173957.55,1,1,1,162519.41,1
246,15384061,Customer246,578,Germany,Male,43,7,172581.67,1,1,1,11433.38,1
247,15064626,Customer247,715,France,Male,20,3,130265.22,1,1,0,155430.64,0
248,15320355,Customer248,627,Spain,Female,50,8,102162.55,2,1,1,48683.37,0
249,15841876,Customer249,667,Germany,Male,33,9,0.0,1,1,1,145676.34,1
250,15394966,Customer250,501,France,Male,27,5,130576.82,2,0,0,109974.04,0
251,15373036,Customer251,627,Spain,Female,45,5,238216.35,1,1,0,42525.39,1
252,15145815,Customer252,749,France,Male,50,0,0.0,1,1,1,162090.6,0
253,15180587,Customer253,646,Germany,Female,49,1,30709.54,1,0,1,122927.9,1
254,15131055,Customer254,648,France,Female,44,0,82456.59,1,1,0,40350.6,1
255,15141591,Customer255,575,France,Female,37,7,92976.23,1,1,0,77120.46,1
256,15782491,Customer256,744,Spain,Male,37,8,40902.97,4,1,1,118783.35,0
257,15261242,Customer257,530,Germany,Male,52,2,145058.9,2,1,0,48784.56,0
258,15040594,Customer258,635,Spain,Male,34,3,28334.87,2,1,0,174060.48,0
259,15123368,Customer259,522,Germany,Male,44,8,0.0,3,1,1,176290.48,0
260,15158238,Customer260,680,France,Female,48,5,65240.2,1,1,1,92711.3,0
261,15678225,Customer261,597,Spain,Female,46,6,164964.51,2,1,1,124388.95,0
262,15034481,Customer262,641,France,Male,18,7,63933.45,2,0,1,163842.63,0
263,15268480,Customer263,551,France,Male,38,0,145619.82,1,1,0,148536.55,1
264,15030597,Customer264,648,Germany,Female,18,10,0.0,1,1,1,166610.22,1
265,15739221,Customer265,498,France,Female,47,2,0.0,1,1,0,187283.94,0
266,15641175,Customer266,614,France,Female,44,4,0.0,1,1,0,168568.75,0
267,15646948,Customer267,704,Spain,Male,34,7,38843.16,1,1,1,172020.99,0
268,15988590,Customer268,660,France,Male,24,8,0.0,2,0,0,155713.02,0
269,15245697,Customer269,674,Spain,Male,31,8,149984.09,1,1,1,146847.33,0
270,15325477,Customer270,502,Germany,Male,27,2,0.0,1,1,0,147684.53,0
271,15479151,Customer271,581,France,Male,42,7,0.0,2,1,1,196664.55,0
272,15168758,Customer272,588,France,Female,37,10,238590.25,1,0,1,25343.86,0
273,15900267,Customer273,517,France,Female,54,0,73691.1,1,1,1,41964.95,1
274,15943614,Customer274,443,Spain,Male,29,4,0.0,1,1,1,104334.81,0
275,15095544,Customer275,747,France,Male,23,5,0.0,1,0,1,40397.72,1
276,15470285,Customer276,597,France,Male,57,1,0.0,2,1,0,46749.26,0
277,15549186,Customer277,613,France,Female,30,6,55096.28,2,1,0,95214.88,0
278,15357203,Customer278,637,Spain,Male,23,8,0.0,1,0,1,12750.96,0
279,15974963,Customer279,658,France,Male,43,1,63022.81,2,0,1,94353.95,0
280,15473831,Customer280,439,Spain,Female,53,3,117236.2,1,1,0,26756.6,1
281,15577537,Customer281,574,France,Male,38,10,0.0,2,1,0,170135.33,0
282,15391935,Customer282,688,Spain,Male,42,8,87590.08,2,0,0,72180.09,0
283,15176987,Customer283,558,Germany,Male,45,7,138499.52,2,1,1,82420.51,0
284,15107815,Customer284,779,France,Male,31,3,95115.85,1,1,1,167525.71,0
285,15505464,Customer285,593,Spain,Male,38,9,171890.04,1,1,1,164284.46,0
286,15751072,Customer286,684,France,Female,46,0,140274.39,1,0,1,12957.45,1
287,15180910,Customer287,850,Germany,Male,33,8,130858.15,1,1,1,94910.98,1
288,15830617,Customer288,532,Germany,Male,57,0,92105.16,2,0,1,38446.9,0
289,15115695,Customer289,632,France,Female,24,9,0.0,1,1,1,27862.08,0
290,15965809,Customer290,644,France,Male,28,6,163216.04,3,0,0,130687.96,1
291,15767414,Customer291,577,France,Male,33,10,0.0,2,1,1,133626.11,0
292,15523595,Customer292,794,France,Male,30,3,152920.49,2,0,1,199642.27,0
293,15491446,Customer293,471,France,Male,34,9,0.0,2,1,1,46872.0,0
294,15698614,Customer294,840,France,Female,44,7,103070.73,2,1,1,48873.74,0
295,15138804,Customer295,581,Spain,Female,56,4,0.0,2,0,1,78830.86,0
296,15153232,Customer296,556,France,Female,22,3,73659.61,1,1,1,108142.88,0
297,15460497,Customer297,640,Germany,Male,30,2,0.0,1,1,0,155845.19,0
298,15274995,Customer298,651,France,Female,23,5,232012.05,1,0,1,18829.36,0
299,15008295,Customer299,458,France,Male,38,9,0.0,1,0,0,83867.16,0
300,15434662,Customer300,459,Spain,Female,31,1,99089.87,1,0,1,55707.64,0
301,15718607,Customer301,511,Spain,Male,29,0,0.0,1,0,1,159609.5,0
302,15264303,Customer302,832,France,Female,33,5,0.0,1,0,1,160401.13,0
303,15145573,Customer303,631,France,Female,41,6,45162.74,2,1,0,37463.32,0
304,15755496,Customer304,552,Spain,Male,29,10,59559.56,1,1,0,55718.43,0
305,15124635,Customer305,669,France,Male,37,2,0.0,1,0,1,73045.32,0
306,15177974,Customer306,640,France,Male,25,3,67469.75,2,1,1,179706.07,0
307,15118722,Customer307,546,Germany,Female,54,8,88715.31,1,1,0,52634.16,1
308,15102159,Customer308,686,Spain,Male,37,6,128044.62,1,0,0,142291.17,1
309,15730607,Customer309,810,Spain,Male,52,2,291568.17,1,0,0,109658.03,0
310,15598922,Customer310,646,Germany,Female,57,3,265244.54,1,1,1,32402.12,0
311,15832022,Customer311,781,France,Female,39,10,0.0,1,0,1,148666.78,0
312,15291323,Customer312,705,Spain,Male,23,9,0.0,2,0,1,123474.66,1
313,15885797,Customer313,737,Spain,Female,42,8,0.0,2,0,0,9275.33,0
314,15667353,Customer314,646,Spain,Female,27,5,63884.72,1,1,1,155225.04,0
315,15521822,Customer315,610,Germany,Male,45,6,0.0,1,0,0,58349.6,0
316,15049985,Customer316,717,France,Male,30,7,0.0,1,1,0,158566.02,0
317,15680339,Customer317,645,France,Female,43,9,38030.31,1,1,0,88511.77,0
318,15279327,Customer318,551,France,Male,41,6,31316.14,2,1,0,96369.25,0
319,15707291,Customer319,634,Germany,Female,23,5,0.0,2,1,0,178889.15,1
320,15504569,Customer320,698,Spain,Male,52,5,57645.43,2,0,0,74265.52,0
321,15718384,Customer321,517,France,Female,66,4,195551.02,2,1,0,196037.54,1
322,15427787,Customer322,727,Germany,Male,28,6,141503.5,1,1,1,67776.56,0
323,15386290,Customer323,701,France,Male,37,0,197684.07,2,0,1,112907.36,0
324,15226166,Customer324,797,Spain,Male,28,1,0.0,2,0,1,97199.64,0
325,15503868,Customer325,616,France,Male,38,7,0.0,1,1,0,127645.73,1
326,15814996,Customer326,810,France,Male,38,10,162182.89,2,1,1,16250.28,0
327,15700767,Customer327,698,France,Male,42,7,201651.46,1,1,0,188302.88,1
328,15316235,Customer328,638,France,Male,46,1,0.0,4,0,0,112780.12,0
329,15599973,Customer329,827,Spain,Female,44,9,0.0,2,1,1,108847.55,0
330,15636834,Customer330,681,France,Male,28,3,219939.13,2,1,0,19050.48,0
331,15166695,Customer331,767,Spain,Male,18,8,237853.25,2,1,1,166915.91,0
332,15929497,Customer332,634,Germany,Male,36,0,323712.54,2,1,0,67625.33,0
333,15720116,Customer333,774,France,Male,36,6,205031.88,3,1,0,55583.96,0
334,15126741,Customer334,719,Spain,Male,45,4,0.0,3,1,1,92249.37,0
335,15403424,Customer335,505,France,Female,53,2,204709.84,2,0,1,96885.57,0
336,15499992,Customer336,568,Spain,Male,41,4,0.0,3,1,0,70800.8,0
337,15136786,Customer337,699,France,Female,33,5,0.0,2,1,1,19025.33,0
338,15667027,Customer338,769,Germany,Female,38,8,135775.03,2,1,1,108459.1,0
339,15682232,Customer339,479,France,Female,33,10,149340.03,4,0,0,116518.49,1
340,15793949,Customer340,593,France,Male,39,0,117626.96,1,1,0,125240.84,0
